순위,제목,저자,출판사,요약
178,게임으로 배우는 파이썬,다나카 겐이치로,영진닷컴,"파이썬은 머신러닝과 AI 등 최첨단의 분야에서 주목받고 있으며, 프로그래밍의 원리를 배우기 위한 기본 언어로도 적합합니다. 이 책에서는 간단한 게임을 직접 만들어 보면서 쉽고 재미있게 파이썬을 배웁니다."
179,C++ Programming Basic(그림으로 배우는)(2판),Mana Takahashi,영진닷컴,"C++는 다양한 실무 프로그램 개발에 활용되는 고급 프로그래밍 언어입니다. 
이 책은 기존 출간된 〈그림으로 배우는 C++ 프로그래밍〉의 개정판 도서로, Visual Studio 등 최신 개발 환경을 적용하여 다양한"
180,그림으로 배우는 C Programming Basic(2판),다카하시 마나,영진닷컴,C 언어는 프로그래밍을 시작할 때 가장 먼저 배우고 여러 분야에 다양하게 활용되는 프로그래밍 언어 중 하나입니다. 하지만 C 언어는 어렵다는 이미지가 강해 처음 시작하는 사람은 접근하기가 쉽지 않습니다.
181,파이썬이 보이는 그림책,"ANK Co., Ltd.",성안당,"파이썬, 이 책 한권이면 끝난다! 파이썬 기초 결정판!
빠르고 재미있게 배우고 싶은 이에게 가장 쉬운 그림책 시리즈 최신간!

파이썬은 요즘 가장 핫한 프로그래밍 언어이다. 프로그래밍 순위에서 C, 자바에"
182,빅데이터 전문가의 하둡 관리(빅데이터 시리즈),샘 R. 알라파티,성안당,"빅데이터 전문가의 하둡 관리

 데이터 양이 많은 페이스북같은 기업에서 서버의 트래픽이 몰리지 않고 사용자가 빠른 피드백을 받도록 하려면? 데이터를 분산해서 효율적으로 처리해야 한다. 
 코끼리 모양의"
183,파이썬(Python) 2학년 스크래핑의 구조,모리 요시나오,성안당,파이썬은 인공지능의 기초 언어로 배우기 쉬우면서 각종 데이터 분석에 사용되는 프로그래밍 언어로 절정의 인기를 누리고 있다. 기존이 파이썬 책이 선뜻 입문하기 어려운 감이 있었다면 이 책은 염소 박사와
184,알기쉬운 파이썬 SQL 코딩하기,정현희,크라운출판사,이 수험서는 파이썬 프로그램을 통해 단계적으로 코딩을 습득해 볼 수 있도록 구성되었습니다. 특히 파이썬을 데이터베이스 관리 프로그램언어인 SQL과 연동해 활용할 수 있는 기초 지식을 습득할 수 있는 데에
185,바로 쓰는 파이썬,박진수,서울대학교출판문화원,서울대학교 경영대학은 프로그래밍 교육을 의무화하여 2018년부터 1학년 신입생의 필수 교양 과목으로 채택해서 교육하고 있다. 여기에는 학생들의 논리적 문제 해결 능력을 기른다는 포괄적 목적만 있는 것은
186,초보자를 위한 Kotlin 200제,엄민석,정보문화사,"프로그래밍을 처음 배워도, 경험이 있어도 모두 도전!

이 책은 프로그래밍 입문자의 시선에서 코틀린을 설명한 입문서이다. 코틀린은 함수형 프로그래밍을 지원하는 언어이기 때문에 문제 접근 방식이 객체지향"
187,Kubernetes(쿠버네티스)(완벽한 IT 인프라 구축의 자동화를 위한),Asa Shiho,정보문화사,이 책은 쿠버네티스를 처음 사용하는 업무 애플리케이션 개발자 및 도커에 대한 기초 지식이 있는 분을 대상으로 컨테이너 오케스트레이션 툴인 <쿠버네티스의 구조>와 <기본적인 기능과 내부 동작>을 설명한
188,파이썬과 코랩기반의 OpenCV로 배우는 영상처리,고병철,그린,이 책은 파이썬과 코랩기반의 OpenCV로 배우는 영상처리에 대해 다룬 도서입니다. 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
189,코드업과 함께 하는 C언어 & 문제 해결,배준호,삼양미디어,"이 책은 코드업 온라인 저지를 활용한 C 언어 프로그래밍 학습용 교재입니다. 프로그래밍의 본질인 문제 해결 방법을 익히는 데 초점을 두어 따라하기 형태의 기본 예제를 통해 코드를 확인하고, 핵심 내용을"
190,UML을 활용한 객체지향 분석 설계,그래디 부치,에이콘출판,『UML을 활용한 객체지향 분석 설계』는 객체지향 구루들이 표준 UML 2.0을 기반으로 근본적인 객체지향 세계의 이해부터 대규모 시스템 개발에 이르기까지 소프트웨어 개발에 필요한 다양한 내용을 제시한다.
191,C & C++ 시큐어 코딩(개정판)(에이콘 해킹 보안 시리즈),로버트 시코드,에이콘출판,"[C & C++ 시큐어 코딩]은 소프트웨어 취약점의 근본 원인을 설명하고 침투를 막기 위해 취할 수 있는 대책을 소개하는 책이다. 책에서는 C나 C++ 애플리케이션의 전체 보안을 향상시킬 수 있는 방법, 동적 메모리"
192,스프링과 JPA를 활용한 자바 엔터프라이즈 애플리케이션 개발 세트(에이콘 오픈소스 프로그래밍 시리즈)(전,김영한,에이콘출판,"JPA 기초 이론과 핵심 원리, 그리고 실무에 필요한 성능 최적화 방법까지 JPA에 대한 것을 다루는 『자바 ORM 표준 JPA 프로그래밍』과 대한민국 전자정부 표준 프레임워크 스프링을 설명하는 『토비의 스프링"
193,IT 비전공자를 위한 돈 버는 파이썬 코딩,비현코,디지털북스,"코딩으로 내가 잠자는 동안에도 돈을 벌 수 있다는 류의 이야기를 종종 듣곤 한다. 그러나 수학과 담을 쌓은 문과, 인문, 비전공자라면 나와는 상관 없는, 남의 나라 남의 이야기처럼 들릴 것이다.본 도서는"
194,더 괜찮은 QA가 되기 위한 프랙티컬 테스트 자동화,정상미,프리렉,소프트웨어 품질을 높이려면 변화하는 소프트웨어 개발 동향에 맞춘 테스트 자동화가 필요합니다. 이 책은 소프트웨어 테스트 표준인 ISO 29119를 기반으로 현업에서 활발히 사용하고 있는 키워드 기반 테스트
195,Practical Vim(손이 먼저 반응하는)(프로그래밍인사이트),드류 네일,인사이트,"Vim을 처음 접하는 사람은 어떻게 시작해야 할지 막막하고, Vim을 제법 쓰는 사람은 자신이 올바른 방식으로 Vim을 사용하는지 의구심이 든다. 방대한 분량의 매뉴얼이 기본적으로 포함되어 있기는 하지만 설명이"
196,깐깐하게 배우는 C,제드 쇼,인사이트,"만들고 부수면서 배우는 견고한 C 언어 프로그래밍
프로그래밍 언어의 대명사인 C. 누구나 C를 알고 있지만, 나온 지 40년이 넘어서 현재의 기술 수준에 맞지 않고 배우기 어려운 언어라고 생각하는 경우가 많다."
197,Concrete Mathematics 구체 수학(프로그래밍 인사이트),로널드 그레이엄,인사이트,『CONCRETE MATHEMATICS』는 스탠퍼드 대학에서 컴퓨터과학도를 대상으로 1970년부터 매년 가르쳐 온 동명의 강좌 내용을 바탕으로 하고 있다. 저자들은 컴퓨터 프로그래밍을 이해하기 위해 필요한 수학이
198,데이터 과학(밑바닥부터 시작하는)(2판)(프로그래밍인사이트),조엘 그루스,인사이트,이 책은 라이브러리나 프레임워크와 같은 도구를 사용하지 않고 ‘밑바닥부터’ 만들어 보며 데이터 과학과 관련된 알고리즘을 알려 주는 기본서다. 데이터 과학을 배우기 위해 꼭 필요한 기본적인 내용을
199,수학 리부트(프로그래밍인사이트),강중빈,인사이트,"이 책은 수학적 기초를 좀 더 다지고 싶지만, 어디서부터 무엇을 공부해야 좋을지 잘 모르겠다고 생각하는 사람들에게 길잡이가 되어 주자는 생각에서 시작되었다. 근래에 딥러닝을 비롯한 인공지능이 큰 화두가"
200,만들면서 배우는 컴파일러 첫걸음,나카다 이쿠오,인사이트,"“작은 컴파일러를 만들며 익히는 컴파일러 기본기”

컴파일러 개발은 이론적으로도 복잡하고 엔지니어링적으로도 많은 노력이 필요하다 보니 대부분 다가가기를 꺼리게 되는 분야다. 그런데 컴파일러가"
201,262가지 문제로 정복하는 코딩 인터뷰 in Java,아드난 아지즈,인사이트,"코딩 인터뷰는 어색한 공간, 낯선 면접관 앞에서 이루어진다. 후회 없이 인터뷰를 마치려면 평소에 난이도와 주제별로 다양한 문제를 풀며 철저히 준비해 두어야 한다. 이 책은 면접관으로 수많은 인터뷰를 해 온"
202,C++20: 풍부한 예제로 익히는 핵심 기능,라이너 그림,인사이트,현대적 C++의 시작인 C++11 이후 가장 큰 개정이 이루어진 표준이 바로 C++20이다. C++20은 현대적 C++의 프로그래밍 방식 자체를 바꾼다. 《C++20: 풍부한 예제로 익히는 핵심 기능》에서는 이 혁신적인 변화의
203,하둡 완벽 가이드(4판),톰 화이트,한빛미디어,하둡 프로젝트의 커미터이자 핵심 설계자인 톰 화이트가 집필한 이 책은 하둡 창시자인 더그 커팅을 비롯한 프로젝트별 전문가의 강력한 조언이 충실하게 반영되어 오랫동안 하둡 개발자의 바이블로서 자리를
204,행복한 프로그래밍,임백준,한빛미디어,"이 책은 우리가 프로그래밍에 열광하는 이유, 즉 프로그래밍의 무엇이 우리의 열정을 자극하는지를 다양한 에피소드와 재미있는 알고리즘 문제, 세상을 놀라게 한 역사적 사건 속에 녹여 일깨워준다. 목차만으로도"
205,배워서 바로 써먹는 데이터 분석 with 파이썬,설진욱,생능북스,"이 책은 파이썬 기초, 데이터 분석을 위한 라이브러리 사용법, 크롤링, 데이터 수집, 전처리, 시각화, 자연어 처리 등 다양한 데이터 분석 유형을 다루고 있다. 기본 문법과 활용법을 익힌 후 실생활 예제를 다룬"
206,C++로 쉽게 풀어쓴 자료구조,천인국,생능출판,"『C++로 쉽게 풀어쓴 자료구조』는 C++의 복잡한 문법이 아니라 자료구조에 초점을 맞춘 기본서다. 이 책에서는 어떤 자료구조를 설명하기 위해 추상 자료형, UML 다이어그램 그리고 C++ 클래스를 이용한다. 먼저"
207,테스트 주도 개발 시작하기,최범균,가메,"작동하는 깔끔한 코드를 만드는 데 필요한 습관

- JUnit 5를 이용한 테스트 주도 개발 안내
- 테스트 작성과 설계를 위한 대역
- 테스트 가능한 설계 방법 안내
- 유지보수하기 좋은 테스트 작성법"
208,자바로 쉽게 배우는 알고리즘,이충기,배움터,알고리즘은 컴퓨터보다 훨씬 더 폭넓게 쓰이고 있고 컴퓨터가 나오기 훨씬 이전부터 사용되어 왔다. 실제로 알고리즘은 4차산업혁명의 중심이 되는 소프트웨어 분야에서 핵심 역할을 담당하고 있다. 수년 전에
209,스크럼,켄 슈와버,인사이트,"스크럼 전문가 켄 슈와버, 마이크 비들의 『스크럼』. 팀의 생산성을 극대화시키는 애자일 방법론인 '스크럼(Scrum)'에 대해 소개한다. 저자들이 오랫동안 여러 가지 프로젝트를 해오면서 쌓아온 철학과 이론,"
210,코딩을 지탱하는 기술(더 나은 코딩을 위한),돈 그리피스,비제이퍼블릭,『코딩을 지탱하는 기술』는 프로그램이 언어가 가지고 있는 다양한 개념이 왜 존재하고 있는지를 설명해주고 있다. 저자는 언어 설계자의 관점에서 여러 언어를 비교하고 언어가 어떻게 변화되어 왔는지
211,클린 코드를 위한 테스트 주도 개발(파이썬을 이용한),해리 J. W. 퍼시벌,비제이퍼블릭,"『클린 코드를 위한 테스트 주도 개발』은 웹 애플리케이션의 개발 과정 전반을 다룬다. 또한 애플리케이션을 구축하기에 앞서 어떻게 테스트 코드를 작성하고 실행해야 할지를 알려주고, 테스트 코드를 통과하기"
212,C언어의 정석,남궁성,도우출판,"『C언어의 정석』은 C언어 뿐만 아니라 꼭 알아야 하는 기본적인 프로그래밍의 원리와 알고리즘을 자세하면서도 깊이있게 설명하고 있다. 특히 기존의 C언어 포인터에 대한 불완전한 설명을, 저자가 새로운 체계를"
213,델파이 프로그래밍(시작하는 사람들을 위한),유리 칼미코프,데브기어출판부,"[시작하는 사람들을 위한 델파이 프로그래밍]은 소프트웨어 개발 분야에서 잘 알려진 전문가인 유리 칼미코프가 쓴 책으로, 생각하면서 처음부터 제대로 시작하는 프로그래밍을 소개한다."
214,자바의 신 세트(2판)(전2권),이상민,로드북,『자바의 신 세트』는 성능 전문가로 널리 알려진 저자가 십수 년의 자바 개발 경험을 바탕으로 현장에서 꼭 필요한 기초지식을 정리한 책이다. 현장 중심으로 자바의 기본서를 다시 정의한 책이다. 독자가
215,보통의 취준생을 위한 코딩 테스트 with 파이썬,권국원,로드북,이 책은 손에 잡히는 코딩 테스트 합격 방법을 제시한다.바로 “백준 플래티넘 5 &코드 포스 파란색 랭크”로 목표설정을 구체화한 것이다.이 수준을 달성하면 웬만한 기업의 코딩 테스트 문제는 충분히 풀어낼 수
216,파이썬으로 배우는 머신러닝,김화종,홍릉,"이 책은 기업 현장에서 디지털 전환(Digital Transformation), 인공지능(AI) 도입, 데이터 분석을 담당하는 실무자를 위한 학습서이다. 현업에서 이러한 업무를 수행하는데 가장 필요한 기술은 파이썬"
217,포르잔 C++ 바이블(전2권),Behrouz A. Forouzan,한빛아카데미,"이 책은 C를 몰라도 곧바로 C++을 공부하도록 구성했습니다. 개념을 이해하고 프로젝트 실습을 따라 하면 C++에 대한 전반적인 이해도를 높을 수 있습니다. 스크립트 언어에서 빠른 처리를 해야 하는 프레임워크,"
218,C# 프로그래밍(2판)(2판)(IT CookBook),윤인성,한빛아카데미,"이 책은 객체 지향 프로그래밍 기초를 시작으로 .NET 프레임워크, 델리게이터, Linq 등 C#만의 특장점까지 학습할 수 있도록 구성되었습니다. 객체 지향 언어를 최대한 일반화해서 다루기 때문에 다른 객체 지향"
219,자바를 부탁해(그림으로 배우고 실생활 예제로 실습하는)(IT@CookBook),박세홍(홍팍),한빛아카데미,"이 책은 이제 막 첫발을 디딘 자바 입문자 수준에 맞추어 집필되었습니다. 실제 생활에서 접할 수 있는 예제로 자바의 기초 개념을 잡고, 복잡해 보이는 코드를 직관적인 그림으로 구조화할 수 있도록 내용을"
220,쉽게 배우는 자료구조 with 자바,문병로,한빛아카데미,"문제 해결 기법 훈련을 위한 가이드

이 책은 기본 자료구조와 알고리즘을 밀도 있게 풀어낸 기본서입니다.
기본 원리는 이해하기 쉽게 단계별로 차근차근 설명하면서도
구현을 위해 논리의 골격을 구성해가는"
221,프랙티컬 C#(위키북스 프로그래밍 & 프랙티스 시리즈 16),이데이 히데유키,위키북스,대부분의 초보 프로그래머들은 ’C#의 기본적인 문법은 어느 정도 이해했지만 지금 알고 있는 문법을 어떻게 적용하고 프로그램을 어떻게 만들어야 할지 잘 모르겠다.’라는 고민을 가지고 있을 것입니다. 이 책은
222,웹 크롤링과 스크레이핑(파이썬을 이용한)(데이터 사이언스 시리즈 12),카토 코타,위키북스,"《파이썬을 이용한 웹 크롤링과 스크레이핑》은 파이썬을 이용한 데이터 수집과 분석을 위해 입문에서 실전까지 상세하게 설명한 책입니다. 

기본적인 크롤링과 API를 활용한 데이터 수집은 물론, HTML과 XML"
223,생활코딩! React 리액트 프로그래밍(위키북스 러닝스쿨 7),이고잉,위키북스,"생활코딩은 일반인에게 프로그래밍을 알려주는 것을 목적으로 하는 비영리 교육 활동으로, 이 책은 생활코딩에서 제공하는 수업 가운데 WEB3 - React 수업을 정리한 책입니다.

이 수업은 프로그래밍을 처음"
224,두들낙서의 C/C++ 한꺼번에 배우기(위키북스 프로그래밍 & 프랙티스 시리즈 29),최지훈,위키북스,"이 책은 코딩 입문자나 C와 C++를 처음 배우는 사람들을 위한 입문서로, 코딩을 처음 배우는 사람도 쉽게 C와 C++의 문법을 익히면서 코딩을 시작할 수 있습니다. C++는 C의 확장판이라고도 할 수 있기 때문에"
225,프로그래머를 위한 베이지안 with 파이썬,캐머런 데이비슨 필론,길벗,"수학 없이 파이썬 코드로 이해한다. 수식을 설명하지 않는다. 컴퓨터를 이용한 이해가 최우선이다. 베이지안에서 사용하는 MCMC 모델, 손실함수, A/B 테스팅 등을 파이썬 코드로 구현해보면서 내용을 이해하고"
226,모두의 C언어,이형우,길벗,"C 언어는 여러 프로그래밍 언어 중 가장 널리 사용되면서도 오래된 언어 중 하나다. 하지만 초보자가 접근하기에 결코 쉬운 언어가 아니다. 기본 개념을 이해하기도 벅찬데, 처음부터 두껍고 딱딱한 책으로"
227,금융 파이썬 쿡북(데이터 과학 시리즈),에릭 르윈슨,에이콘출판,"파이썬은 금융에서 가장 보편적으로 사용되는 언어이면서 방대한 라이브러리를 갖고 있다. 금융 데이터를 다운로드하는 다양한 방법과 모델링을 위해 준비하는 기법을 알려준다. 기술분석에 사용되는 볼린저 밴드,"
228,앤서블 마스터하기(2판)(acorn+Packt 시리즈),제시 키팅,에이콘출판,앤서블(Ansible)은 최근 화두에 오른 IT 자동화 도구이다. IT 자동화는 사람이 일일이 서버에 접속해서 동일한 작업을 수행해야 하는 일을 한 번에 원격에서 처리하도록 하는 것이기 때문에 서버 관리자의 일을
229,앤서블 시작과 실행,로린 혹스테인,에이콘출판,환경설정 배포가 손쉬운 자동화 툴 앤서블(Ansible)은 에이전트(Agent) 기반이 아닌 SSH 기반으로 SSH 연결을 통해 코드를 전송하고 스크립트를 실행한다. 베이그란트를 실험 머신으로 설정하고 앤서블과
230,암호 해킹으로 배우는 파이썬의 기초,알 스웨이가트,에이콘출판,"암호 해킹과 파이썬 코딩을 모두 맨땅에서 시작하는 책이다. 암호학도 파이썬도 모르는 사람뿐만 아니라, 프로그래밍 경험이 거의 없는 사람도 볼 수 있는 책이다. 그러나 이 책은 프로그래밍의 기초에만"
231,프로메테우스 인프라스트럭처 모니터링(클라우드 컴퓨팅),조엘 바스토스,에이콘출판,"가상머신, 컨테이너 환경에서 실습 중심으로 프로메테우스 기반의 모니터링 스택의 구성 요소와 특징을 설명한다. 또한 쿠버네티스 환경에서 오퍼레이터를 활용한 모니터링 파이프라인 구축과 구성 요소를 살펴"
232,Programming in Scala 4/e(프로그래밍 언어),마틴 오더스키,에이콘출판,스칼라는 여러 함수 언어적 기법과 객체지향 기법이 어우러져 루비나 파이썬 같은 동적 언어 못지않게 간결하면서 풍부한 표현력을 가진 언어다. 스칼라는 빅데이터나 머신러닝 등의 최첨단 분야에 널리 쓰이고
233,스프링 배치 완벽 가이드(2판),마이클 미넬라,에이콘출판,"스프링 배치의 ""Hello, World!""부터 최근 플랫폼의 발전에 따른 클라우드 네이티브 기술을 활용한 배치까지 폭넓은 스프링 배치 활용 방법과 이와 관련된 유용한 내용을 다룬다. 또한 스프링 프레임워크 5와"
234,Go 마스터하기(2판),미할리스 추칼로스,에이콘출판,"Go 언어의 기본 개념부터 동시성, 네트워크, 머신러닝, 고급 데이터 구조에 이르기까지 방대한 주제를 실습 예제와 함께 소개한다. 1판의 내용 중 도커와 쿠버네티스, 깃, 웹어셈블리, JSON, gRPC 등을"
235,컴파일러 만들기(프로그래밍 언어),유종원,에이콘출판,현대 소프트웨어는 하드웨어의 성능 발전에 힘입어 많은 부분에서 추성화된 덕택에 코딩에 입문하기도 쉬워졌고 원하는 프로그램을 만들기도 쉬워졌다. 하지만 컴퓨터를 더 잘 이해하고 싶고 프로그래밍을 더 잘
236,파이썬을 활용한 금융공학 레시피,김용환,한빛미디어,"금융공학, 딱 필요한 만큼만 배우고 바로 활용하기

금융공학에서 프로그래밍은 본질이 아닌 도구다. 이 책은 금융권에서 가장 일반적으로 활용하는 주식, 선물, 옵션, 펀드 이론을 최대한 친절하게 설명하고,"
237,자바 최적화(Optimizing Java),벤저민 J. 에번스,한빛미디어,성능 튜닝은 실험과학이다. 추측과 구전 튜닝에 의존할 일이 아니다. 이 책은 복잡한 기술 스택을 다루는 중/고급 자바 개발자에게 정량적이고 검증 가능한 접근 방식으로 자바 애플리케이션 성능을 튜닝하는
238,14가지 AWS 구축 패턴(배워서 바로 쓰는),가와카미 아키히사,한빛미디어,"사실상 클라우드 업계 표준인 AWS는 제공하는 서비스와 기능이 방대하다. AWS 관리자가 EC2, S3 같은 개별 서비스 기능을 이해하는 것은 어렵지 않다. 하지만 각 서비스를 조합해 특정 요구 사항을 만족하는"
239,엑셀이 편해지는 파이썬,펠릭스 춤슈타인,한빛미디어,직장인이라면 누구나 사용하는 엑셀. 파이썬의 인기가 하늘을 찌르면서 엑셀에도 변화의 바람이 불고 있다. 최근 마이크로소프트 사용자를 위한 피드백 포럼에는 파이썬을 엑셀 스크립트 언어로 지원해달라는
240,Do it! 강화 학습 입문(Do it! 시리즈),조규남,이지스퍼블리싱,"알파고, 테슬라 오토 파일럿, 스타크래프트2 자동 플레이 봇은 어떻게 만들었을까? 궁금하다면 강화 학습을 공부하자. 영화 〈엣지 오브 투모로우〉의 이야기로 쉽게 시작하는 강화 학습!  이 책 한 권이면 이론"
241,Git 교과서,이호진,길벗,"버전 관리 시스템(VCS)은 파일의 변화를 시간에 따라 기록했다가 나중에 특정 시점의 버전을 다시 꺼내올 수 있는 시스템이다. VCS를 사용하면 파일이나 프로젝트를 이전 상태로 되돌릴 수 있고, 시간에 따라 수정"
242,실전 대비 C 알고리즘 인터뷰,헤먼 자인,길벗,효율적인 알고리즘 설계는 소프트웨어에서 아주 중요합니다. 그래서 모든 소프트웨어 회사의 코딩 인터뷰에서는 자료 구조와 알고리즘을 얼마나 아는지는 물론 지원자가 복잡한 문제를 자료 구조와 알고리즘을
243,모두의 자바,강경미,길벗,"자바는 어렵다? 자바나 프로그래밍을 모르더라도 혼자서 배워볼 수는 없을까? 프로그래밍이 처음인 사람도, 자바가 처음인 사람도 부담 없이 쉽게 따라 하며 자바와 프로그래밍을 배울 수 있다! 
각 Lesson은"
244,파이썬 스킬 업,브라이언 오버랜드,길벗,"런타임 효율성부터 고급 문법, 람다 함수, 정규표현식, 매직 메서드 등 고급 주제를 필수 항목으로 분류하여 설명하며, 많이 사용되는 넘파이를 자세히 설명하고, 이 외에 랜덤과 수학 패키지를 포함한 유용한"
245,핵심 C++ 표준 라이브러리(2판),라이너 그림,길벗,"C++ 프로그래머가 알아야 할, C++ 표준 라이브러리
 
C++ 표준 라이브러리에 대해 반드시 알아야 할 사항을 간결하게 설명했다. 어떤 라이브러리가 있는지 소개하고, 어떻게 사용하는지, 어떤"
246,파이썬 매일 코딩,루벤 M. 러너,길벗,"능숙한 파이썬 프로그래머가 되기 위한 지름길!
다양한 파이썬 문제를 풀어보며 프로그래밍 기술을 배우고 자신감을 키우자!
 
파이썬을 마스터할 수 있는 유일한 방법은"
247,파이썬 무작정 따라하기(미래의 프로그래머를 위한),서승희,길벗,"이 책은 초등학생부터 청소년까지 쉽고 체계적으로 파이썬 코딩을 배울 수 있는 책입니다. 데이터, 조건문, 변수, 반복문, 함수, 라이브러리 등 개념 이해부터, 코드 실습, 연습 문제 3단계 구성으로 차근차근"
248,파이썬 코딩 실습(연구활용 대기과학편)(차근차근),류지훈,좋은땅,파이썬은 문법이 쉽고 간결해 접근 장벽이 낮아서 학습용으로 적합하며 오픈 소스 개발 언어이기 때문에 무료로 제공하고 있어 실력 있는 개발자들이 만들어 놓은 훌륭한 패키지들이 많다. 하지만 책들과 영상들을
249,STM32CubeIDE를 이용한 STM32 따라하기,김남수,북랩,"임베디드 프로그램 개발이 막막한 개발자를 위한 32비트 마이크로 컨트롤러 STM32 제품군 실습. 사용자 중심의 임베디드 시스템 설계 환경이 구축되는 분위기 속, 자료는 방대하지만 실무에 활용 가능한 정보는"
250,파이썬 네트워크 프로그래밍(사물인터넷을 위한)(3판),서열규,복두출판사,"본 도서에서는 파이썬을 사용하여 사물인터넷을 구현하기 위한 인터넷 기반의 네트워크 프로그래밍 방법을 소개하였다. 파이썬은 사용하기 쉽고, 다양한 플랫폼에서 사용할 수 있으며 모듈이 매우 풍부하여 대학을"
251,IoT 사물인터넷을 위한 라즈베리파이 4 정석,최주호,앤써북,『IoT 사물인터넷을 위한 라즈베리파이 4 정석』은 왕초보도 라즈베리파이를 이용해 다양한 IoT를 직접 개발할 수 있도록 전기전자 기초 원리부터 센서제어 및 나만의 가상비서 만들기 등 초수/중수/고수 예제
252,마이크로비트로 배우는 파이썬,서민우,앤써북,"이 책의 마이크로비트 보드 상의 LED, 버튼, 가속도센서, 나침반센서, 무선 통신을 텍스트 코딩으로 동작시키다보면 어느덧 파이썬 문법이 자연스럽게 이해되고, 결과물을 스스로 만들 수 있는 프로그래밍"
253,병렬 프로그래밍(입문자를 위한),피터 파체코,제이펍,"[입문자를 위한 병렬 프로그래밍]은 MPI, Pthreads, 그리고 OpenMP를 이용한 병렬 프로그래밍 가이드북이다. 책은 튜토리얼을 사용하여 작은 프로그래밍 예제로 시작해서 좀 더 규모가 큰 예제들을 구축하고,"
254,ROS로 배우는 로봇 프로그래밍(제이펍의 로봇 시리즈 10)(반양장),모건 퀴글리,제이펍,ROS 개발자가 직접 알려주는 로봇 프로그래밍 노하우를 소개하는 [ROS로 배우는 로봇 프로그래밍]. ROS의 메커니즘과 로봇을 제어하기 위해 그 메커니즘을 활용하는 방법을 명쾌하게 소개한다. 기발한 로봇
255,파이썬 프로그래밍으로 지루한 작업 자동화하기,알 스웨이가트,스포트라잇북,컴퓨터는 수많은 작업을 위해 구성할 수 있는 스위스 나이프와도 같다. 그러나 많은 사람들은 반복적인 작업을 단지 몇 초 만에 끝낼 수 있다는 사실을 모른 채 마우스와 키보드를 잡고 여러 시간을 보내고 있다.
256,자바 웹 개발(스프링 부트로 배우는),윤석진,제이펍,"시중에는 자바 웹 개발자를 위한 스프링과 JSP 관련 서적이 많이 나와 있긴 하지만, 입문자가 끝까지 따라 할 만한 책은 많지 않습니다. 이 책은 독자들이 자바 기반의 웹 서비스를 만들거나 공부할 때 가장 쉽게"
257,코딩의 시작은 프로세싱으로,양재희,연두에디션,▶ 이 책은 코딩을 다룬 이론서입니다.
258,알짜배기 예제로 배우는 OpenCV,이정주,비제이퍼블릭,"OpenCV는 오픈소스 컴퓨터 비전 라이브러리로, 공통의 API를 사용하여 컴퓨터 비전 또는 영상 처리 프로그래밍을 할 수 있는 환경을 제공합니다. 또한 윈도우, 맥, 리눅스, iOS, 안드로이드 등 다양한"
259,딥러닝 머신러닝을 위한 파이썬 넘파이,문용준,잇플,넘파이 모듈은 4차 산업혁명에서 매우 중요한 위치를 차지하는 인공지능의 기초입니다. 넘파이 모듈을 부분적으로 다루는 책은 많지만 넘파이 모듈 한 가지를 주제로 해서 다루어진 책은 많지 않습니다. 구글이
260,파이썬으로 배우는 자연어 처리 인 액션(제이펍의 인공지능 시리즈 25),홉슨 레인,제이펍,"최근 심층 학습(딥러닝) 기술이 발전하면서 응용 프로그램들이 대단히 정확하게 텍스트와 음성을 인식하게 되었다. 또한, 새로운 기술과 Keras나 TensorFlow 같은 사용하기 쉬운 도구들 덕분에 이제는 고품질"
261,Wonder 파이썬,조성호,인피니티북스,파이썬 언어의 문법은 매우 단순하여 누구나 쉽게 배울 수 있다. 이러한 장점으로 프로그래밍을 처음 배우는 초보자들에게 추천되는 언어이다. 이 책은 실생활에서 흔히 접할 수 있는 예제와 여러 캐릭터를 활용한
262,Step by Step 파이썬 비즈니스 통계분석(개정판),김형수,프레딕스,"본서는 파이썬을 전혀 모르는 사람도, 프로그래밍을 전혀 해보지 않은 사람도 단계적으로 (step by step) 따라하다 보면 파이썬 기반의 통계분석을 용이하게 다룰 수 있도록 도와주는 이론서이자 실무"
263,비트코딩 라이트 : 파이썬,박해민,햄큐,"● 최초의 문제은행식 코딩 문제집!
● 516문제 수록!
● 단원마다 난이도 별 연습문제로 개념을 확실하게!
● 다양한 영역, 다양한 주제의 신선한 문제 수록!
● 실습이 중요한 코딩! 연습을 위한 최고의"
264,파이썬 입문 예제 중심,황재호,인포앤북,"이 책은 프로그래밍을 처음 접하는 학생과 일반인 또는 다른 컴퓨터 언어는 어느 정도 알지만 파이썬은 처음인 분을 대상으로 내용이 구성되었습니다. 이 책은 두 단계로 구성되어 있습니다. 첫 단계에서는 변수,"
265,파이썬을 이용한 비트코인 자동매매,유대표,파이스탁,"이 책은 최근 인기 있는 프로그래밍 언어인 파이썬을 사용하여 국내 3대 거래소(코빗, 빗썸, 업비트) 및 국외 거래소(바이낸스)에서 비트코인을 자동매매하는 프로그램을 개발하는 방법을 다룹니다. 프로그래밍"
266,핸즈온 파이썬을 이용한 설명가능한 AI(XAI),Denis Rothman,DK로드북스,"Explaining Artificial
Intelligence with Python
알고리즘의 설명 가능성은 최초로 1940년대에 복잡한 기계들로 시작되었으며, 그 첫 번째는 튜링머신(Turing machine)이었다. 앨런 튜링(Alan Turing)은 자신의"
